               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.016253,            0.016366,           0.0021705,             0.87887,             0.93846,             0.94497,             0.65569,            0.025188,            0.041885,           0.0040739,           0.0089308,           0.0089308,           0.0089308
                  56,            0.015582,            0.016813,           0.0021944,             0.89236,              0.9365,             0.94051,             0.64392,            0.025448,            0.042851,           0.0042062,            0.008911,            0.008911,            0.008911
                  57,            0.016001,            0.016771,           0.0021826,             0.89769,             0.92782,             0.92128,             0.64944,             0.02424,            0.041867,           0.0035994,           0.0088912,           0.0088912,           0.0088912
                  58,            0.015333,            0.016881,           0.0021715,             0.93035,             0.95396,             0.96857,             0.65339,            0.024912,             0.04089,           0.0032396,           0.0088714,           0.0088714,           0.0088714
                  59,            0.015231,            0.015341,           0.0022955,             0.92796,             0.93677,             0.96137,             0.65992,            0.024255,            0.043586,           0.0034821,           0.0088516,           0.0088516,           0.0088516
                  60,            0.016376,            0.016576,           0.0022887,             0.93033,             0.95505,             0.96698,             0.66672,            0.025108,            0.043132,           0.0034782,           0.0088318,           0.0088318,           0.0088318
                  61,            0.015467,            0.015243,           0.0022602,             0.90786,             0.93205,             0.93824,               0.655,            0.025183,            0.044114,           0.0035109,            0.008812,            0.008812,            0.008812
                  62,            0.015475,            0.015927,           0.0020938,             0.90814,             0.94158,             0.94928,             0.65882,            0.024472,             0.04028,           0.0032521,           0.0087922,           0.0087922,           0.0087922
                  63,            0.016072,            0.014973,           0.0020868,             0.91179,             0.92392,             0.94495,             0.65669,            0.024575,            0.040712,           0.0033653,           0.0087724,           0.0087724,           0.0087724
                  64,            0.015728,            0.015717,           0.0022007,             0.90422,             0.93753,             0.94093,              0.6691,            0.024763,            0.041763,           0.0034362,           0.0087526,           0.0087526,           0.0087526
                  65,            0.015382,            0.015902,           0.0021394,             0.91123,             0.93461,             0.94153,             0.65627,             0.02533,            0.044725,            0.003516,           0.0087328,           0.0087328,           0.0087328
                  66,            0.015283,            0.015658,           0.0020807,             0.90149,             0.92497,             0.93803,             0.66025,            0.025202,            0.044989,           0.0034535,            0.008713,            0.008713,            0.008713
                  67,            0.015016,            0.015971,           0.0021338,              0.9001,             0.92878,                0.95,             0.64867,            0.025137,            0.041395,           0.0033814,           0.0086932,           0.0086932,           0.0086932
                  68,            0.015082,            0.015257,           0.0021308,             0.92707,             0.92895,             0.94756,             0.66461,            0.025413,            0.042843,           0.0034901,           0.0086734,           0.0086734,           0.0086734
                  69,            0.015965,             0.01539,           0.0021207,             0.93024,             0.93524,             0.93546,             0.63873,            0.024779,             0.04272,           0.0038136,           0.0086536,           0.0086536,           0.0086536
                  70,            0.015711,            0.015963,           0.0021468,             0.93645,             0.92662,              0.9409,             0.64527,            0.025719,            0.046657,           0.0037195,           0.0086338,           0.0086338,           0.0086338
                  71,            0.015888,            0.016496,           0.0021829,             0.89733,             0.92713,             0.94002,             0.65065,            0.024966,            0.043759,           0.0038075,            0.008614,            0.008614,            0.008614
                  72,            0.015641,            0.015251,           0.0021726,             0.90353,             0.92711,             0.94497,             0.65356,            0.025511,             0.04387,           0.0037605,           0.0085942,           0.0085942,           0.0085942
